tube_number,sample_ID,sample_weight_g,date_extracted,technician,note
415,220_X1_34_rt1_i,0.253,6/25/24,SV,
416,220_X1_34_rt1_o,0.253,6/25/24,SV,
417,220_X1_34_rt2_i,0.203,8/15/24,SV,
418,220_X1_34_rt2_o,0.255,7/16/24,SV,
419,220_X1_34_rt3_i,0.206,8/15/24,SV,
420,220_X1_34_rt3_o,0.227,8/15/24,SV,
421,302_C17_rt1_i,0.209,7/8/24,KG,
422,302_C17_rt1_o,0.257,6/27/24,KG,
423,302_C17_rt2_i,0.166,8/15/24,SV,
424,302_C17_rt2_o,0.243,7/16/24,SV,
425,302_C17_rt3_i,0.257,6/25/24,SV,
426,302_C17_rt3_o,0.252,6/25/24,SV,
427,304_X5_31_rt1_i,0.252,6/27/24,KG,
428,304_X5_31_rt1_o,0.253,6/27/24,KG,
429,304_X5_31_rt2_i,0.245,6/27/24,KG,
430,304_X5_31_rt2_o,0.245,6/25/24,SV,
431,304_X5_31_rt3_i,0.221,7/8/24,KG,
432,304_X5_31_rt3_o,0.251,6/27/24,KG,
433,307_A03_rt1_i,0.251,6/27/24,KG,
434,307_A03_rt1_o,0.254,7/11/24,SV,
435,307_A03_rt2_i,0.247,8/15/24,SV,
436,307_A03_rt2_o,0.249,6/27/24,KG,
437,307_A03_rt3_i,0.252,6/27/24,KG,
438,307_A03_rt3_o,0.251,6/25/24,SV,
439,317_X4_42_rt1_i,0.2,8/15/24,SV,
440,317_X4_42_rt1_o,0.254,6/25/24,SV,pink
441,317_X4_42_rt2_i,0.214,6/27/24,KG,not enough sample
442,317_X4_42_rt2_o,0.255,6/25/24,SV,
443,317_X4_42_rt3_i,0.181,6/27/24,KG,not enough sample
444,317_X4_42_rt3_o,0.256,6/25/24,SV,
445,319_X8_37_rt1_i,0.162,8/15/24,SV,
446,319_X8_37_rt1_o,0.253,6/27/24,KG,
447,319_X8_37_rt2_i,0.25,6/25/24,SV,
448,319_X8_37_rt2_o,0.253,6/25/24,SV,
449,319_X8_37_rt3_i,0.161,8/15/24,SV,
450,319_X8_37_rt3_o,0.257,6/25/24,SV,
451,402_X11_57_rt1_i,0.245,6/25/24,SV,
452,402_X11_57_rt1_o,0.242,8/15/24,SV,
453,402_X11_57_rt2_i,0.213,8/15/24,SV,
454,402_X11_57_rt2_o,0.239,8/15/24,SV,
455,402_X11_57_rt3_i,0.196,8/15/24,SV,
456,402_X11_57_rt3_o,0.253,6/27/24,KG,
457,403_A20_rt1_i,0.25,7/11/24,SV,
458,403_A20_rt1_o,0.256,6/27/24,KG,
459,403_A20_rt2_i,0.254,6/25/24,SV,
460,403_A20_rt2_o,0.257,7/8/24,KG,
461,403_A20_rt3_i,0.249,6/25/24,SV,
462,403_A20_rt3_o,0.254,6/27/24,KG,
463,407_X2_24_rt1_i,0.246,7/11/24,SV,
464,407_X2_24_rt1_o,0.251,6/25/24,SV,
465,407_X2_24_rt2_i,0.254,6/25/24,SV,
466,407_X2_24_rt2_o,0.255,,,
467,407_X2_24_rt3_i,0.24,6/27/24,KG,
468,407_X2_24_rt3_o,0.252,6/25/24,SV,
469,409_X2_45_rt1_i,0.246,6/25/24,SV,
470,409_X2_45_rt1_o,0.289,8/15/24,SV,tissue seems abnormally heavy for volume
471,409_X2_45_rt2_i,0.252,6/27/24,KG,
472,409_X2_45_rt2_o,0.244,7/8/24,KG,
473,409_X2_45_rt3_i,0.248,6/27/24,KG,
474,409_X2_45_rt3_o,0.253,6/27/24,KG,
475,418_X5_36_rt1_i,0.251,8/15/24,SV,
476,418_X5_36_rt1_o,0.255,6/27/24,KG,
477,418_X5_36_rt2_i,0.253,6/27/24,KG,
