Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
3_E05_417_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	87.44423287029028	39.0	112.13810313998914	117	27.27272727272727	26036555.0
3_E05_417_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	29.51598717755185	39.0	117.69482736867454	127	27.27272727272727	26036555.0
3_E06_109_X11_68_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	82.86799200361035	38.0	95.82399248093012	97	27.27272727272727	12894148.0
3_E06_109_X11_68_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	26.232133355593405	40.0	108.01075689529856	112	27.27272727272727	12894148.0
3_E07_417_X1_54_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	84.49360212604236	37.0	90.37278629429937	87	27.27272727272727	18359543.0
3_E07_417_X1_54_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	38.105557531125044	38.0	101.73733534652796	102	18.181818181818183	18359543.0
3_E08_105_X5_66_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	86.86302091214499	36.0	94.49523563854406	92	27.27272727272727	22403317.0
3_E08_105_X5_66_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	42.918620735823524	37.0	104.46097481904131	107	27.27272727272727	22403317.0
3_E09_107_X4_32_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.75829222977777	36.0	109.5335812118838	117	27.27272727272727	26643693.0
3_E09_107_X4_32_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	33.10879619130418	37.0	114.87453953924481	127	18.181818181818183	26643693.0
3_E10_205_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	91.0942664592747	41.0	102.04349036665866	107	18.181818181818183	40842838.0
3_E10_205_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	36.59065156336835	41.0	110.55240047226884	122	9.090909090909092	40842838.0
3_E11_210_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.44182755681997	38.0	105.89324078224126	112	18.181818181818183	35523874.0
3_E11_210_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	32.99657856832698	38.0	113.0726211617573	122	18.181818181818183	35523874.0
3_E12_302_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	87.38805823482743	37.0	99.8960008553594	102	27.27272727272727	17676780.0
3_E12_302_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	31.134672743239506	38.0	109.86588241749911	117	18.181818181818183	17676780.0
3_F01_417_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.23077153985291	36.0	118.71400704754295	132	27.27272727272727	17883112.0
3_F01_417_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	36.38119031561033	36.0	120.1312342057691	132	18.181818181818183	17883112.0
3_F02_412_X11_68_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	52.32966479118425	37.0	89.97434167260371	92	27.27272727272727	291952.0
3_F02_412_X11_68_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	24.31135653814414	38.0	100.39463336438867	102	36.36363636363637	291952.0
3_F03_219_X2_24_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	76.37572952813701	43.0	94.13877119503152	97	36.36363636363637	2712782.0
3_F03_219_X2_24_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	41.70470614969424	43.0	104.03139028495471	107	27.27272727272727	2712782.0
3_F04_412_X11_68_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	90.02907356376494	44.0	107.61057554931821	112	36.36363636363637	18373230.0
3_F04_412_X11_68_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	50.26855502621809	44.0	114.54873443591573	122	36.36363636363637	18373230.0
3_F05_206_C17_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	85.4793284685947	39.0	95.67497085936765	97	36.36363636363637	12206324.0
3_F05_206_C17_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	41.10876343153556	39.0	105.64622698856756	112	27.27272727272727	12206324.0
3_F06_219_X2_24_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	86.40293903661774	38.0	100.92952522105166	102	18.181818181818183	17306475.0
3_F06_219_X2_24_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	31.9117663286779	39.0	110.46231754300052	117	18.181818181818183	17306475.0
3_F07_101_X2_24_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	86.5952945932548	37.0	114.79987021731147	132	18.181818181818183	23211108.0
3_F07_101_X2_24_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	30.829162735995084	37.0	115.83347817777592	132	18.181818181818183	23211108.0
3_F08_105_X5_66_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	89.30219512203553	36.0	110.8781116388445	117	27.27272727272727	34326887.0
3_F08_105_X5_66_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	26.769350136133426	37.0	117.09769237158034	132	18.181818181818183	34326887.0
3_F09_112_X4_67_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	86.8553580322752	37.0	98.43796078227265	97	18.181818181818183	21134575.0
3_F09_112_X4_67_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	46.97579454722742	38.0	106.54288837130626	112	27.27272727272727	21134575.0
3_F10_205_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	85.59804629736267	40.0	95.77884783284175	97	27.27272727272727	18955930.0
3_F10_205_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	37.45737875162788	40.0	105.5224344571857	112	18.181818181818183	18955930.0
3_F11_210_X11_68_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	90.06528226112071	44.0	88.11748075261085	87	45.45454545454545	24934161.0
3_F11_210_X11_68_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	56.286824399916306	44.0	99.58746881437078	102	36.36363636363637	24934161.0
3_F12_302_C17_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	87.51238165745339	39.0	87.07112911253904	87	27.27272727272727	22314773.0
3_F12_302_C17_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	48.78579669492701	40.0	98.60395662550545	102	18.181818181818183	22314773.0
3_G01_417_X1_54_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	82.34916983207331	40.0	111.8534539695616	117	27.27272727272727	8166922.0
3_G01_417_X1_54_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	34.1311859544885	40.0	117.48183330268122	127	27.27272727272727	8166922.0
3_G02_412_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	87.63385802629627	38.0	101.0893601298962	102	27.27272727272727	18339566.0
3_G02_412_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	35.04216977152953	39.0	110.88506260180857	117	27.27272727272727	18339566.0
3_G03_219_X2_24_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	88.92858642767875	38.0	108.87927785914368	112	27.27272727272727	23003767.0
3_G03_219_X2_24_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	36.63316253335536	39.0	116.41954137337594	127	27.27272727272727	23003767.0
3_G04_219_X2_24_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	79.98381265714656	39.0	98.08244936930532	102	27.27272727272727	4962306.0
3_G04_219_X2_24_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	28.443174554769968	40.0	109.74849717046872	117	27.27272727272727	4962306.0
3_G05_313_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	67.32584694194529	37.0	92.78174381339169	92	27.27272727272727	1620678.0
3_G05_313_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	24.877421843759365	38.0	104.25024958690129	107	27.27272727272727	1620678.0
3_G06_411_C17_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	62.02548630153875	40.0	102.48655832703452	107	27.27272727272727	793800.0
3_G06_411_C17_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	30.817186061477884	40.0	109.88583018392542	117	36.36363636363637	793800.0
3_G07_113_C17_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	90.3013395047182	37.0	115.9762858178381	132	18.181818181818183	25593672.0
3_G07_113_C17_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	25.48125137132739	37.0	117.71810238874671	132	18.181818181818183	25593672.0
3_G08_105_X5_66_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	90.64025602832845	35.0	101.81702697791269	102	36.36363636363637	26997122.0
3_G08_105_X5_66_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	41.795302235781136	36.0	110.52113803093529	117	18.181818181818183	26997122.0
3_G09_112_X4_67_rt2_i_10479813_22MM3HLT4_L3_R1_trimmed2	85.65528598634339	36.0	106.29876806244812	112	18.181818181818183	16439632.0
3_G09_112_X4_67_rt2_i_10479813_22MM3HLT4_L3_R2_trimmed2	36.43361276187086	37.0	113.24883367218925	122	27.27272727272727	16439632.0
3_G10_205_X1_54_rt2_o_10479813_22MM3HLT4_L3_R1_trimmed2	77.06422296505177	42.0	93.56321262608058	97	36.36363636363637	3295908.0
3_G10_205_X1_54_rt2_o_10479813_22MM3HLT4_L3_R2_trimmed2	42.93717299472463	42.0	102.6074007526909	107	36.36363636363637	3295908.0
