Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	519069.0	48.7 Mbp	0.0	18-139	48.0	28.297992543019703	93.75251267172573	102	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_A12_218_X8_415_rt3_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	519069.0	53.2 Mbp	0.0	18-151	47.0	57.334280425072414	102.59709017490931	107	pass	warn	fail	pass	fail	fail	pass	warn	warn	fail	pass
3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18322.0	2 Mbp	0.0	18-139	40.0	69.91049012116581	112.92429865735181	122	pass	pass	fail	pass	warn	fail	pass	warn	warn	warn	pass
3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_B01_109_X11_68_rt3_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	18322.0	2.1 Mbp	0.0	18-151	40.0	90.05567077829932	118.22011789105993	132	pass	warn	fail	pass	fail	fail	pass	warn	pass	fail	pass
3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2	3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14497000.0	1.5 Gbp	0.0	18-139	38.0	15.636295911819415	108.94079740635993	112	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2	3_B02_313_X1_54_rt1_i_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	14497000.0	1.6 Gbp	0.0	18-151	38.0	68.34105066272093	114.98010609091536	127	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24813779.0	3.1 Gbp	0.0	18-139	35.0	9.879883365255907	124.49001109423921	137	pass	pass	fail	pass	warn	pass	pass	warn	fail	warn	pass
3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_B03_115_X1_54_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24813779.0	3 Gbp	0.0	18-151	36.0	77.79587269540067	124.87421077619818	137	pass	warn	warn	pass	fail	fail	pass	warn	pass	warn	pass
3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2	3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R1_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20653077.0	2.4 Gbp	0.0	18-139	36.0	10.161563870401933	116.78719321096803	127	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass
3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2	3_B04_411_C17_rt1_o_10479813_22MM3HLT4_L3_R2_trimmed2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	20653077.0	2.4 Gbp	0.0	18-151	36.0	67.65737832140995	120.23430590996199	132	pass	warn	warn	pass	fail	fail	pass	warn	warn	warn	pass
