samplenum,sample_ID,timept,harvest_date,plant,root,layer,empty_tube_weight_g,raw_fresh_weight_g,fresh_weight_g,greenhouse_notes,dry_date_out,dry_weight_g,dry_matter%,dry_matter%_complete,Drying_notes,tubeID,corrected_sampleID,corrected_genotypeID
127,108_X8_37_rt1_i,2,6/20/23,108,1,inner,,14.028,14.028,,6/28/23,9.329,36.25,36.25,,108_X8_37_rt1_i,108_X8_37_rt1_i,X8_37
128,108_X8_37_rt1_o,2,6/20/23,108,1,outer,,17.956,17.956,,6/28/23,10.888,37.45,37.45,,108_X8_37_rt1_o,108_X8_37_rt1_o,X8_37
129,108_X8_37_rt2_i,2,6/20/23,108,2,inner,,10.024,10.024,,6/28/23,7.491,24.77,24.77,,108_X8_37_rt2_i,108_X8_37_rt2_i,X8_37
130,108_X8_37_rt2_o,2,6/20/23,108,2,outer,,18.97,18.97,,6/28/23,10.819,33.80,33.80,,108_X8_37_rt2_o,108_X8_37_rt2_o,X8_37
131,108_X8_37_rt3_i,2,6/20/23,108,3,inner,,9.795,9.795,,6/28/23,7.768,35.40,35.40,,108_X8_37_rt3_i,108_X8_37_rt3_i,X8_37
132,108_X8_37_rt3_o,2,6/20/23,108,3,outer,,15.897,15.897,,6/28/23,10.302,39.45,39.45,,108_X8_37_rt3_o,108_X8_37_rt3_o,X8_37
133,110_X4_42_rt1_i,2,6/20/23,110,1,inner,,9.74,9.74,,6/28/23,7.342,22.22,22.22,,110_X4_42_rt1_i,110_X4_42_rt1_i,X4_42
134,110_X4_42_rt1_o,2,6/20/23,110,1,outer,,19.88,19.88,,6/28/23,10.715,30.69,30.69,,110_X4_42_rt1_o,110_X4_42_rt1_o,X4_42
135,110_X4_42_rt2_i,2,6/20/23,110,2,inner,,8.16,8.16,,6/28/23,7.094,29.08,29.08,,110_X4_42_rt2_i,110_X4_42_rt2_i,X4_42
136,110_X4_42_rt2_o,2,6/20/23,110,2,outer,,17.38,17.38,,6/28/23,10.182,32.87,32.87,,110_X4_42_rt2_o,110_X4_42_rt2_o,X4_42
137,110_X4_42_rt3_i,2,6/20/23,110,3,inner,,10.074,10.074,,6/28/23,7.735,31.55,31.55,,110_X4_42_rt3_i,110_X4_42_rt3_i,X4_42
138,110_X4_42_rt3_o,2,6/20/23,110,3,outer,,21.08,21.08,,6/28/23,11.424,33.05,33.05,,110_X4_42_rt3_o,110_X4_42_rt3_o,X4_42
139,113_C17_rt1_i,2,6/20/23,113,1,inner,,11.8,11.8,,6/28/23,8.021,26.52,26.52,,113_C17_rt1_i,113_C17_rt1_i,C17
140,113_C17_rt1_o,2,6/20/23,113,1,outer,,17.68,17.68,,6/28/23,9.232,23.36,23.36,,113_C17_rt1_o,113_C17_rt1_o,C17
141,113_C17_rt2_i,2,6/20/23,113,2,inner,,10.264,10.264,,6/28/23,7.755,30.44,30.44,,113_C17_rt2_i,113_C17_rt2_i,C17
142,113_C17_rt2_o,2,6/20/23,113,2,outer,,16.98,16.98,,6/28/23,9.592,28.43,28.43,,113_C17_rt2_o,113_C17_rt2_o,C17
143,113_C17_rt3_i,2,6/20/23,113,3,inner,,8.729,8.729,,6/28/23,7.223,27.32,27.32,,113_C17_rt3_i,113_C17_rt3_i,C17
144,113_C17_rt3_o,2,6/20/23,113,3,outer,,13.92,13.92,,6/28/23,8.614,26.94,26.94,,113_C17_rt3_o,113_C17_rt3_o,C17
145,116_X8_41.5_rt1_i,2,6/20/23,116,1,inner,,12.74,12.74,,6/28/23,7.966,21.52,21.52,,116_X8_41.5_rt1_i,116_X8_41.5_rt1_i,X8_41.5
146,116_X8_41.5_rt1_o,2,6/20/23,116,1,outer,,22.66,22.66,,6/28/23,11.8,32.14,32.14,,116_X8_41.5_rt1_o,116_X8_41.5_rt1_o,X8_41.5
147,116_X8_41.5_rt2_i,2,6/20/23,116,2,inner,,12.197,12.197,,6/28/23,8.101,26.06,26.06,,116_X8_41.5_rt2_i,116_X8_41.5_rt2_i,X8_41.5
148,116_X8_41.5_rt2_o,2,6/20/23,116,2,outer,,15.117,15.117,,6/28/23,8.97,27.34,27.34,,116_X8_41.5_rt2_o,116_X8_41.5_rt2_o,X8_41.5
149,116_X8_41.5_rt3_i,2,6/20/23,116,3,inner,,8.68,8.68,,6/28/23,7.196,26.64,26.64,,116_X8_41.5_rt3_i,116_X8_41.5_rt3_i,X8_41.5
150,116_X8_41.5_rt3_o,2,6/20/23,116,3,outer,,17.053,17.053,,6/28/23,9.606,28.37,28.37,,116_X8_41.5_rt3_o,116_X8_41.5_rt3_o,X8_41.5
151,203_X11_57_rt1_i,2,6/20/23,203,1,inner,,10.293,10.293,,6/28/23,7.84,32.54,32.54,,203_X11_57_rt1_i,203_X11_57_rt1_i,X11_57
